                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     15,                0.94548,                 1.7837,                0.27212,                0.57156,                 1.0213,                0.79932,                0.64286,                 0.7749,                0.47318,                0.82695,                    0.5,                0.51613,                0.21174,                 1.4224,                 5.2565,                0.37387,                 1.2377,                 1.4767,             0.00024119,             0.00024119,             0.00024119
                     16,                 0.9771,                  1.871,                0.25898,                0.64867,                 1.1484,                0.79491,                0.64286,                0.74387,                0.45217,                0.70532,                0.57143,                0.56178,                0.21546,                 1.4859,                 5.2253,                 0.3673,                 1.2549,                 1.5607,             0.00025545,             0.00025545,             0.00025545
                     17,                0.93424,                 1.9066,                  0.286,                0.78811,                 1.2036,                0.89803,                0.63018,                 0.7235,                0.41436,                0.79661,                0.56053,                0.54152,                0.17434,                 1.5162,                 5.4271,                0.36481,                 1.3033,                  1.571,             0.00026931,             0.00026931,             0.00026931
                     18,                0.94501,                 2.1659,                0.22171,                0.94242,                 1.1082,                0.89803,                0.63018,                 0.7235,                0.41436,                0.79661,                0.56053,                0.54152,                0.17434,                 1.5162,                 5.4271,                0.36481,                 1.3033,                  1.571,             0.00028278,             0.00028278,             0.00028278
                     19,                 1.0642,                 5.6673,                0.28714,                0.86418,                 1.3632,                0.89963,                 0.6405,                0.71643,                0.38258,                0.79975,                0.57062,                0.51842,                0.18235,                 1.6235,                 5.5848,                 0.3749,                 1.4229,                 1.6224,             0.00029585,             0.00029585,             0.00029585
                     20,                 0.9609,                  2.205,                0.28621,                  0.594,                 1.0477,                0.89963,                 0.6405,                0.71643,                0.38258,                0.79975,                0.57062,                0.51842,                0.18235,                 1.6235,                 5.5848,                 0.3749,                 1.4229,                 1.6224,             0.00030852,             0.00030852,             0.00030852
                     21,                  0.797,                0.72528,                0.21194,                0.72517,                 1.2479,                0.89876,                0.63491,                0.71257,                 0.3795,                0.68168,                    0.5,                0.39134,                0.13836,                 1.6302,                 5.5743,                0.38756,                 1.5427,                 1.5476,              0.0003208,              0.0003208,              0.0003208
                     22,                0.82403,                  1.819,                0.30045,                0.70919,                 1.0751,                0.89876,                0.63491,                0.71257,                 0.3795,                0.68168,                    0.5,                0.39134,                0.13836,                 1.6302,                 5.5743,                0.38756,                 1.5427,                 1.5476,             0.00033268,             0.00033268,             0.00033268
                     23,                 0.8059,                 2.3762,                0.29504,                0.65491,                0.96416,                0.66426,                0.64286,                0.71961,                0.35612,                0.56988,                0.42857,                0.29318,                0.09658,                 1.6512,                 5.9104,                0.38488,                 1.5438,                  1.541,             0.00034417,             0.00034417,             0.00034417
                     24,                0.74479,                 2.5649,                0.21126,                0.59267,                 1.0597,                0.66426,                0.64286,                0.71961,                0.35612,                0.56988,                0.42857,                0.29318,                0.09658,                 1.6512,                 5.9104,                0.38488,                 1.5438,                  1.541,             0.00035526,             0.00035526,             0.00035526
                     25,                 1.1344,                 3.2364,                0.19568,                0.72028,                 1.2269,                0.94581,                    0.5,                0.69057,                0.35322,                0.57359,                0.42857,                0.31338,                 0.0887,                 1.6385,                 5.8686,                 0.3791,                 1.4582,                 1.5432,             0.00036595,             0.00036595,             0.00036595
                     26,                 1.3136,                 3.0114,                 0.3964,                0.89333,                 1.2614,                0.94581,                    0.5,                0.69057,                0.35322,                0.57359,                0.42857,                0.31338,                 0.0887,                 1.6385,                 5.8686,                 0.3791,                 1.4582,                 1.5432,             0.00037625,             0.00037625,             0.00037625
                     27,                0.97132,                 2.7838,                0.43467,                0.71416,                 1.0624,                0.88854,                0.56966,                0.68753,                0.37621,                0.42601,                0.28571,                0.19028,                 0.0738,                 1.6622,                 6.1069,                0.38322,                 1.4945,                 1.5759,             0.00038615,             0.00038615,             0.00038615
                     28,                0.88295,                 2.1218,                0.29484,                0.69293,                 1.0394,                0.88854,                0.56966,                0.68753,                0.37621,                0.42601,                0.28571,                0.19028,                 0.0738,                 1.6622,                 6.1069,                0.38322,                 1.4945,                 1.5759,             0.00039566,             0.00039566,             0.00039566
                     29,                 1.0893,                 3.5261,                0.41983,                0.71449,                 1.1087,                0.87267,                0.57143,                0.66488,                0.34628,                0.54934,                0.21429,                0.18546,                0.07056,                 1.6736,                 6.4384,                0.37263,                 1.4096,                 1.6071,             0.00040477,             0.00040477,             0.00040477
                     30,                0.94608,                 1.7854,                0.24012,                0.84387,                 1.1294,                0.87267,                0.57143,                0.66488,                0.34628,                0.54934,                0.21429,                0.18546,                0.07056,                 1.6736,                 6.4384,                0.37263,                 1.4096,                 1.6071,             0.00041348,             0.00041348,             0.00041348
                     31,                 1.2082,                  4.212,                  0.315,                 1.0365,                 1.1986,                0.71455,                0.57143,                0.66247,                0.33694,                0.51481,                0.21429,                0.18125,                0.06784,                 1.6571,                 6.5705,                 0.3707,                 1.4066,                  1.643,              0.0004218,              0.0004218,              0.0004218
                     32,                0.98178,                 2.0618,                 0.3576,                0.80589,                 1.1098,                0.71455,                0.57143,                0.66247,                0.33694,                0.51481,                0.21429,                0.18125,                0.06784,                 1.6571,                 6.5705,                 0.3707,                 1.4066,                  1.643,             0.00042972,             0.00042972,             0.00042972
                     33,                 0.7638,                  3.052,                 0.2734,                0.94256,                 1.1254,                0.72221,                0.55818,                0.62248,                0.33287,                 0.4408,                0.28571,                0.22104,                0.07132,                 1.6643,                 6.6093,                0.38171,                 1.4763,                 1.7196,             0.00043725,             0.00043725,             0.00043725
                     34,                 1.0189,                 2.9115,                0.46217,                0.91973,                 1.2063,                0.72221,                0.55818,                0.62248,                0.33287,                 0.4408,                0.28571,                0.22104,                0.07132,                 1.6643,                 6.6093,                0.38171,                 1.4763,                 1.7196,             0.00044438,             0.00044438,             0.00044438
                     35,                 1.1931,                 2.2727,                0.14961,                 1.1019,                 1.3689,                 0.5202,                0.64286,                0.59227,                0.33531,                0.53072,                0.28571,                0.20763,                0.06512,                 1.6577,                 6.6469,                0.38376,                  1.525,                 1.7388,             0.00045111,             0.00045111,             0.00045111
                     36,                 1.1174,                 3.9237,                0.38384,                0.86962,                 1.3299,                 0.5202,                0.64286,                0.59227,                0.33531,                0.53072,                0.28571,                0.20763,                0.06512,                 1.6577,                 6.6469,                0.38376,                  1.525,                 1.7388,             0.00045745,             0.00045745,             0.00045745
                     37,                  1.062,                 2.9249,                0.33523,                0.88068,                 1.2226,                0.70992,                0.42857,                0.56823,                0.31541,                0.46833,                0.28571,                 0.1887,                0.06288,                  1.681,                  6.571,                 0.3732,                 1.6061,                 1.7619,             0.00046339,             0.00046339,             0.00046339
                     38,                 1.0314,                 2.3106,                 0.3295,                 1.2394,                 1.1137,                0.70992,                0.42857,                0.56823,                0.31541,                0.46833,                0.28571,                 0.1887,                0.06288,                  1.681,                  6.571,                 0.3732,                 1.6061,                 1.7619,             0.00046894,             0.00046894,             0.00046894
                     39,                0.82767,                 2.7509,                0.31838,                0.88445,                 1.1448,                 0.6793,                0.42857,                0.55835,                0.27378,                0.45191,                0.28571,                0.17561,                0.06155,                 1.6781,                 6.6567,                0.36936,                 1.5878,                 1.7792,             0.00047409,             0.00047409,             0.00047409
                     40,                 1.2575,                 2.6547,                0.35007,                0.93323,                 1.3231,                 0.6793,                0.42857,                0.55835,                0.27378,                0.45191,                0.28571,                0.17561,                0.06155,                 1.6781,                 6.6567,                0.36936,                 1.5878,                 1.7792,             0.00047884,             0.00047884,             0.00047884
                     41,                 1.0957,                 2.8436,                0.33656,                0.94401,                 1.2595,                0.77617,                0.49586,                0.60228,                0.27765,                 0.4034,                0.28571,                0.19065,                0.06116,                 1.6875,                  7.071,                0.37753,                 1.5713,                 1.7998,              0.0004832,              0.0004832,              0.0004832
                     42,                0.78637,                 2.0027,                0.33484,                0.77697,                 1.0536,                0.77617,                0.49586,                0.60228,                0.27765,                 0.4034,                0.28571,                0.19065,                0.06116,                 1.6875,                  7.071,                0.37753,                 1.5713,                 1.7998,             0.00048716,             0.00048716,             0.00048716
                     43,                 0.9946,                 2.8473,                0.35623,                 1.0591,                 1.0751,                      1,                0.40742,                0.62357,                0.27372,                0.29327,                0.21429,                0.15486,                 0.0357,                   1.72,                 7.4116,                0.36945,                  1.776,                 1.8181,             0.00049073,             0.00049073,             0.00049073
                     44,                 1.0482,                 2.7238,                0.34095,                0.91205,                 1.1239,                      1,                0.40742,                0.62357,                0.27372,                0.29327,                0.21429,                0.15486,                 0.0357,                   1.72,                 7.4116,                0.36945,                  1.776,                 1.8181,              0.0004939,              0.0004939,              0.0004939
                     45,                 1.0045,                 3.2016,                0.33644,                0.98493,                 1.1266,                0.49312,                0.64286,                0.52259,                0.29442,                0.44683,                0.21429,                0.15278,                0.03696,                 1.8605,                 7.6097,                0.36536,                 1.8429,                 1.8309,             0.00049667,             0.00049667,             0.00049667
                     46,                0.91547,                 3.0309,                0.28206,                0.83216,                 1.0856,                0.49312,                0.64286,                0.52259,                0.29442,                0.44683,                0.21429,                0.15278,                0.03696,                 1.8605,                 7.6097,                0.36536,                 1.8429,                 1.8309,             0.00049905,             0.00049905,             0.00049905
                     47,                 1.2764,                 2.5695,                0.26868,                0.81931,                 1.2983,                0.40125,                0.57143,                0.43661,                0.22612,                0.43156,                0.14286,                0.11431,                0.01986,                 2.0153,                 7.9109,                0.39229,                 2.1357,                 1.9116,             0.00050103,             0.00050103,             0.00050103
                     48,                 1.1942,                 2.6246,                0.38305,                0.88094,                 1.2426,                0.40125,                0.57143,                0.43661,                0.22612,                0.43156,                0.14286,                0.11431,                0.01986,                 2.0153,                 7.9109,                0.39229,                 2.1357,                 1.9116,             0.00050262,             0.00050262,             0.00050262
                     49,                0.73964,                 2.7782,                0.29252,                 0.6384,                0.94261,                0.41912,                0.57143,                 0.4311,                0.18876,                0.52658,                0.14286,                  0.102,                0.02876,                 1.9981,                 8.0578,                0.42437,                  2.472,                 1.9398,             0.00050381,             0.00050381,             0.00050381
                     50,                 1.1065,                 3.1844,                0.21864,                 1.0692,                 1.2001,                0.41912,                0.57143,                 0.4311,                0.18876,                0.52658,                0.14286,                  0.102,                0.02876,                 1.9981,                 8.0578,                0.42437,                  2.472,                 1.9398,              0.0005046,              0.0005046,              0.0005046
                     51,                0.86206,                 3.8507,                0.29275,                0.67227,                0.97277,                0.43866,                0.57143,                0.42125,                0.14581,                0.31934,                0.14286,                0.06693,                0.02208,                 2.0634,                 8.2366,                0.46202,                 2.5643,                 1.9853,               0.000505,               0.000505,               0.000505
